,id,name,genres,followers,popularity
92,45T2oTrkt2W5liGxkOfCzu,Jackson Howard,[],10,0
93,1j9Do4dv7NDwi8GrlTdzzr,PARK JI WON (fromis_9),[],2627,37
94,4OUEopSDbWOfgdpXLqhBIK,Brendan Dolan,[],14,2
95,7aKldvGENbL4bj8TCWHuhT,Michel Polnareff,"['chanson', 'ye ye']",208593,48
96,0xakW5wWBhb2LiEEs8W5KB,David Newman,"['kirtan', 'world devotional']",6154,21
97,3DRg1DobD14k7cVjJ6fsNP,Paul Charrier,[],10,11
98,2pU3zCra2KV7VASEjqsVQC,José María Vitier,['trova'],1667,14
99,2HGF8MZq8nygoAlDB3BhCP,Nahid,"['classic persian pop', 'persian pop']",17510,22
100,0Riv2KnFcLZA3JSVryRg4y,Hiroyuki Sawano,"['anime score', 'japanese soundtrack']",504098,65
101,1BKhdAolebQUVwfDGyQpfk,Mark Watters,[],246,14
102,5wTAi7QkpP6kp8a54lmTOq,Johannes Brahms,"['classical', 'german romanticism', 'late romantic era']",932711,65
103,57mN8tApCtBoEzAXcG8t75,Geir Jenssen,"['field recording', 'sound art']",1613,3
104,0SPkat5bgfP5wo2kbqZIwu,Dave Grusin,['smooth jazz'],58990,40
105,30vfc0claO8w5x97q35WiM,Nick Urata,[],2522,21
106,2l63iudiU3bT4p94a2hHa4,Neil Hannon,['irish singer-songwriter'],4278,26
107,3DdDR0Pm60equUbBz5FFGK,Johnny Pate,['rare groove'],2899,24
108,5K6CrtQfpRipgTDZbaSj7k,John Mulaney,['comedy'],201270,50
109,24hJWbo98sH84tb0nkeaqy,Michael McDonald,"['mellow gold', 'soft rock', 'yacht rock']",491989,54
110,0hRijdwO8UsJMudc3476ma,Trent Reznor,['industrial rock'],127276,37
111,1tiMwHC7l7Ax5Ozn2eqgyE,Reijiro Koroku,[],45,0
112,34bKiLjmHfp1mAX5Tq3d2y,Dirk Brossé,['orchestral performance'],2101,40
113,7cOgigZuXXjGM3WGQLdz3h,Leon Ko,[],72,0
114,4B7IWgJGGKpSq3SfNFmhXn,Angelo Lesch,[],1,26
115,6FY8XKyOZE05FV7aGjqgmF,Pieter Bourke,[],847,25
116,0tzASS9VvInrvmuTqWmYUu,David Mendoza,['lldm'],1652,10
117,198heSiXViJQfreQvyxWZD,Mark Goldenberg,[],366,2
118,53hZKwyqI3BvBwkLcWnEsO,Lisa Haley,[],109,1
119,7qZdnGoW781UFYTcMpDilR,David Johansen,['glam rock'],11033,19
120,30MCPVWV1iZrs2gxciRRk4,Jim Carrey,['canadian comedy'],13111,43
121,5CxPEUGpGAlwAMeyUFlXkg,David Nichtern,[],673,9
122,5OFQZvle7HH55LvauNmUIi,Kim Tae Woo,['korean pop'],93178,34
123,35y7CZMg7jbG8Q96JY7dyC,Burt Bacharach,"['adult standards', 'brill building pop', 'easy listening', 'lounge']",215807,45
124,5ukRxzaJiJLe6khkJeIHOn,Martin Phipps,"['british soundtrack', 'orchestral soundtrack', 'soundtrack']",14753,50
125,34Ai24gPz5YJ8NbksiNFef,Mike Patton,['tzadik'],163292,41
126,5JablyqA04o8hIFzKBoKeb,eddyoetty,[],847,48
127,456s5wKVfyhjfMPBgkSWrz,Jim Coleman,[],128,5
128,7w29UYBi0qsHi5RTcv3lmA,Björk,"['art pop', 'electronica', 'experimental pop', 'experimental vocal', 'icelandic experimental', 'icelandic pop', 'icelandic singer-songwriter', 'metropopolis', 'permanent wave', 'trip hop']",1967667,63
129,1vFYze4HHnJbE4DAC5nbH1,Quentin Dupieux,[],79,0
130,17YFYixTwkosluOZZJWhjb,Claude Bolling,['french jazz'],15748,33
131,3XA4LLL4CW8h4VWRY1EVbB,Charles Fox,[],1106,15
132,47BWEfq4CgZGZ1wXdwsMNG,David Snell,[],1505,42
133,7r6hIa4cwxNbzOWxEkHti4,Serge Besset,[],127,4
134,0UM4gJJKawZSZuJxYcIwJS,Leopold Ross,[],664,28
135,5NTEVDdw1KuWN3cUX3kZ1y,Michael Brook,"['canadian soundtrack', 'compositional ambient']",16696,36
136,0xSf86tfEIxfB3wFHfWZjl,Zoran Konević & Vojislav Aralica,[],0,0
137,4OFxfuBQMZXt0C0zdaKL3n,Frank Harris,[],1736,30
138,7uYH4cqaCNayZGF6T9D2j0,Joe Ngo,[],9,4
139,6fTUOi1EcpgGqKl4Q4UE2N,Toshiro Mayuzumi,['japanese classical'],1155,5
140,7xVgcD64SOhLoXfCxN7yg8,Delia Derbyshire,"['british electroacoustic', 'british soundtrack', 'hauntology', 'theme']",19148,25
141,0qEO82Hj3SvjoNyEfKpRku,Krzysztof Penderecki,"['avant-garde', 'classical', 'contemporary classical', 'polish contemporary classical']",46646,39
142,0u1uHJFMfJOt7u250hZdMF,Peter Dasent,[],84,0
143,5bjj6DJmH1FB09Eb5Pct86,Vyacheslav Ovchinnikov,[],116,4
144,67bQGnHjFUmxsCPGFbf07L,Jurriaan Andriessen,[],155,1
145,2lJ8D1SXYsUck4IB09d6hm,Tolga Karaoğlan,[],2516,52
146,1UkEVUkVZVeSSxFvKHgcYZ,Daisuke Asakura,[],4160,20
147,02MGnE8miuIA6RpDdpk0oN,Tina Weymouth,[],1502,3
148,2Cx19OTMqa6gpz2l60cGG2,Jean-Jacques Goldman,"['chanson', 'french pop']",1099358,59
149,0tBYMeHDDJCzRuREuCTWi7,PARK JI HOON,['k-pop'],336895,37
150,6MD1v7X2rICKSMJggLeHN4,Kaiwan Kulavadhanothai,[],2,0
151,478WAnkTtQach00La2gvxR,Lenny White,"['jazz funk', 'jazz fusion']",20180,28
152,13Yaj8u0WMXtGEjECkC8nm,Sakari,[],127,18
153,2O9saJFzmGuI6EWuuC0R39,Brian Cachia,[],349,10
154,6MF58APd3YV72Ln2eVg710,Felix Mendelssohn,"['classical', 'early romantic era', 'german romanticism']",511645,61
155,4YWD5LjplBEohow8eVg230,Frank Lucas,['pop venezolano'],9386,34
156,0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",10057998,75
157,12oO0AimMNdcDJ1rQyKwvn,"Eric Marienthal and Grant Geissman, Rafael Padilla, Larry Treadwell, Daniel May, Jeffrey ""CJ"" Vanston, Kevin Hennessy, Gary Gibbons",[],25,1
158,1DyywGnuzXGEzlZMXBcc0j,Roger Creager,"['classic texas country', 'outlaw country']",92166,36
159,2IUtwMti1OiT3lkW6RubgH,K. S. Chithra,['filmi'],5579669,73
160,3NPZZavqZwUV5jdWKADHoy,Gordon Parks,[],238,2
161,7rdjMqOQlhO74WYSHloFEl,Gary G-Wiz,[],24,4
162,3IX32wm6CoEIYovZ0VcjBJ,Arjun Janya,['sandalwood'],668602,51
